Protein,AUC
17_sp|O43612|OREX_HUMAN,0.9743589743589743
180_sp|Q13641|TPBG_HUMAN,0.95
181_sp|Q9Q6P4|POLG_WNV9,0.8568081991215227
182_tr|Q63JW5|Q63JW5_BURPS,0.7766990291262136
183_sp|P22626|ROA2_HUMAN,0.9557522123893806
184_sp|P22626|ROA2_HUMAN,0.8731563421828908
185_tr|A0A504XWV3|A0A504XWV3_LEIDO,0.9556304408873911
186_sp|P03314|POLG_YEFV1,0.9982332155477032
187_sp|P03314|POLG_YEFV1,0.9967589864466706
188_tr|A0A3B3IU09|A0A3B3IU09_HUMAN,0.9778270509977827
189_sp|P01326|INS2_MOUSE,0.7835051546391752
18_sp|P01308|INS_HUMAN,0.9032258064516129
190_sp|P46841|ENCP2_MYCLE,0.9479166666666666
191_sp|P09259|GE_VZVD,0.6036184210526316
192_sp|P09259|GE_VZVD,0.9539473684210527
193_sp|P09259|GE_VZVD,0.6546052631578947
194_sp|P17763|POLG_DEN1W,0.9988155167308261
195_sp|Q8J0P4|CRF1_ASPFU,0.9631578947368421
196_sp|P17763|POLG_DEN1W,0.979271542789458
197_sp|P17763|POLG_DEN1W,0.9878590464909683
198_sp|Q9QZS0|CO4A3_MOUSE,0.8114008489993936
199_sp|Q9QZS0|CO4A3_MOUSE,0.834445118253487
19_sp|P16112|PGCA_HUMAN,0.99761620977354
1_tr|Q63JW5|Q63JW5_BURPS,0.9174757281553398
200_sp|P0DTC9|NCAP_SARS2,0.9207920792079208
201_sp|P0DTC2|SPIKE_SARS2,0.9173290937996821
202_sp|P0DTC2|SPIKE_SARS2,0.965818759936407
203_sp|P0DTC2|SPIKE_SARS2,0.9618441971383148
204_sp|P0DTC2|SPIKE_SARS2,0.8887122416534181
205_sp|P0DTC2|SPIKE_SARS2,0.9054054054054054
206_sp|P0DTC2|SPIKE_SARS2,0.6979332273449921
207_sp|P09259|GE_VZVD,0.16940789473684215
208_sp|P09259|GE_VZVD,0.33059210526315785
209_sp|Q9QZS0|CO4A3_MOUSE,0.8944815039417829
20_sp|P16112|PGCA_HUMAN,0.9992054032578467
210_sp|Q63WH0|ISPH1_BURPS,0.4248366013071896
211_sp|P43238|ALL12_ARAHY,0.9537953795379538
212_sp|P43238|ALL12_ARAHY,0.9125412541254125
213_sp|P03314|POLG_YEFV1,0.9708480565371025
214_sp|P04958|TETX_CLOTE,0.9829984544049459
215_tr|A0A504XKE2|A0A504XKE2_LEIDO,0.6360067302299495
216_sp|P09259|GE_VZVD,0.9917763157894737
217_sp|P30260|CDC27_HUMAN,1.0
218_sp|P17763|POLG_DEN1W,0.9964465501924785
219_sp|P17763|POLG_DEN1W,0.9375185075510808
21_tr|Q63MW8|Q63MW8_BURPS,0.6605080831408776
220_sp|P03314|POLG_YEFV1,0.9932273262661955
221_sp|Q8S4P9|VCL_CORAV,0.9719626168224299
222_tr|A0A504X102|A0A504X102_LEIDO,0.8594741613780599
223_sp|P01308|INS_HUMAN,0.8913043478260869
224_sp|P01308|INS_HUMAN,0.9444444444444444
225_sp|Q63K41|BOPE_BURPS,0.6307053941908713
226_sp|P10515|ODP2_HUMAN,0.9131121642969984
227_sp|Q76LX8|ATS13_HUMAN,0.9624645892351275
228_tr|Q91UM0|Q91UM0_POVJC,0.2625368731563422
229_tr|A0A504X6V9|A0A504X6V9_LEIDO,0.8844827586206897
22_sp|P02686|MBP_HUMAN,0.8873239436619719
230_tr|Q5Y7D1|Q5Y7D1_HUMAN,0.8582995951417004
231_tr|T1UD71|T1UD71_9MONO,0.9940828402366864
232_sp|P02458|CO2A1_HUMAN,0.9290586630286494
233_sp|P03314|POLG_YEFV1,0.998527679623086
234_sp|Q63K35|BIPC_BURPS,0.9924812030075187
235_tr|O81342|O81342_PHLPR,0.9054545454545455
236_sp|P01308|INS_HUMAN,0.43333333333333335
237_sp|Q05329|DCE2_HUMAN,0.9327433628318584
238_sp|P01308|INS_HUMAN,0.978494623655914
239_sp|P02458|CO2A1_HUMAN,0.9667119565217391
23_sp|P09255|ICP22_VZVD,0.9612403100775194
240_sp|P01308|INS_HUMAN,0.6082474226804124
241_sp|Q95182|ALL1_HORSE,0.9940828402366864
242_sp|P0DTC2|SPIKE_SARS2,0.7718600953895072
243_sp|P0DTC2|SPIKE_SARS2,0.6979332273449921
244_sp|P0DTC2|SPIKE_SARS2,0.9618441971383148
245_sp|P0DTC2|SPIKE_SARS2,0.8131955484896661
246_sp|P0DTC2|SPIKE_SARS2,0.8632750397456279
247_sp|P17763|POLG_DEN1W,0.9979271542789458
248_sp|P17763|POLG_DEN1W,0.9982232750962393
249_tr|A0A7I2PJZ2|A0A7I2PJZ2_HUMAN,0.996328029375765
24_tr|T1UD71|T1UD71_9MONO,0.23668639053254437
250_sp|Q63K35|BIPC_BURPS,0.7468671679197996
251_sp|P17763|POLG_DEN1W,0.8889546935149542
252_tr|A0A3B3IU09|A0A3B3IU09_HUMAN,0.7964601769911505
253_sp|P09264|TEG1_VZVD,0.9429012345679012
254_sp|P0DTC2|SPIKE_SARS2,0.9409417398244214
255_tr|A0A3B3IU09|A0A3B3IU09_HUMAN,0.9356984478935698
256_sp|P36222|CH3L1_HUMAN,0.569482288828338
257_sp|Q63WH0|ISPH1_BURPS,0.5457516339869282
258_sp|P01308|INS_HUMAN,1.0
259_tr|Q63MW8|Q63MW8_BURPS,0.36027713625866054
25_sp|Q9QZS0|CO4A3_MOUSE,0.9636143117040631
260_sp|B4X640|VCL_PISVE,0.979047619047619
261_tr|Q8L5L5|Q8L5L5_ANAOC,0.9884169884169884
262_tr|Q8L5L5|Q8L5L5_ANAOC,0.9980694980694981
263_sp|P04958|TETX_CLOTE,0.9332310053722179
264_tr|A0A7I2PJZ2|A0A7I2PJZ2_HUMAN,0.7025703794369644
265_sp|P01308|INS_HUMAN,0.2210526315789474
266_sp|Q13018|PLA2R_HUMAN,0.6867636867636868
267_sp|Q13018|PLA2R_HUMAN,0.589050589050589
268_sp|Q13018|PLA2R_HUMAN,0.5488565488565489
269_sp|Q13018|PLA2R_HUMAN,0.7789327789327789
26_sp|P04015|VE2_HPV11,0.4152542372881356
270_sp|P0C0Z7|CH60_CHLTR,0.9905660377358491
271_sp|P36222|CH3L1_HUMAN,0.9565217391304348
272_sp|Q9Q6P4|POLG_WNV9,0.9812591508052708
273_sp|P01308|INS_HUMAN,0.9891304347826086
274_tr|Q63UZ9|Q63UZ9_BURPS,0.9257142857142857
275_tr|Q63T73|Q63T73_BURPS,0.8395061728395061
276_sp|P03277|CAPSH_ADE02,0.8310598111227702
277_sp|Q33E94|RFX4_HUMAN,0.9722222222222222
278_sp|P21186|NCAP_MUMPM,0.9943820224719101
279_sp|P17763|POLG_DEN1W,0.9952620669233047
27_sp|O43612|OREX_HUMAN,0.9576271186440678
280_sp|P07288|KLK3_HUMAN,0.966804979253112
281_sp|P07288|KLK3_HUMAN,0.9211618257261411
282_sp|Q9Q6P4|POLG_WNV9,0.4978038067349927
283_sp|P0CL66|OSPA_BORBU,1.0
284_tr|Q63MW8|Q63MW8_BURPS,0.7967667436489607
285_tr|J3QL64|J3QL64_HUMAN,0.8188405797101449
286_sp|Q63KH5|CIF_BURPS,0.7564935064935066
287_sp|P09264|TEG1_VZVD,1.0
288_tr|Q8L5L5|Q8L5L5_ANAOC,0.8648648648648649
289_tr|Q8L5L5|Q8L5L5_ANAOC,0.9285714285714286
28_sp|P09310|ICP4_VZVD,0.9813953488372094
290_sp|Q786F3|FUS_MEASC,0.9738317757009346
291_sp|P09259|GE_VZVD,0.08717105263157898
292_sp|P09259|GE_VZVD,0.774671052631579
293_tr|H0YA27|H0YA27_HUMAN,0.9936708860759493
294_sp|P03314|POLG_YEFV1,0.9440188568061285
295_tr|I3L170|I3L170_HUMAN,0.6
296_sp|P17763|POLG_DEN1W,0.9931892212022505
297_tr|A0A3B3IU09|A0A3B3IU09_HUMAN,0.9868995633187773
298_sp|Q63WH0|ISPH1_BURPS,0.7908496732026143
299_sp|P0DTC5|VME1_SARS2,0.9851485148514851
29_tr|Q63JW5|Q63JW5_BURPS,0.5970873786407767
2_sp|P9WNK5|ESXB_MYCTU,0.9882352941176471
300_sp|P49278|ALL2_DERPT,0.13076923076923075
301_sp|P17763|POLG_DEN1W,0.9997038791827065
302_sp|P09259|GE_VZVD,0.9901315789473685
303_sp|P09259|GE_VZVD,0.9539473684210527
304_sp|P0DTC5|VME1_SARS2,0.8316831683168316
305_tr|Q63RZ9|Q63RZ9_BURPS,0.9117647058823529
306_tr|Q63RZ9|Q63RZ9_BURPS,0.8382352941176471
307_sp|P9WNK7|ESXA_MYCTU,0.4625
308_sp|P9WNK7|ESXA_MYCTU,0.525
309_sp|P49278|ALL2_DERPT,0.7744360902255639
30_tr|Q63MW8|Q63MW8_BURPS,0.2979214780600462
310_sp|Q63KH5|CIF_BURPS,0.711038961038961
311_sp|P17763|POLG_DEN1W,0.9754219721646432
312_tr|A0A3B3IU09|A0A3B3IU09_HUMAN,0.9891067538126361
313_sp|P17763|POLG_DEN1W,0.5238377257921232
314_sp|P48426|PI42A_HUMAN,0.9922480620155039
315_sp|P0DTC2|SPIKE_SARS2,0.9896661367249603
316_sp|P0DTC2|SPIKE_SARS2,0.84181240063593
317_sp|P0DTC2|SPIKE_SARS2,0.9562798092209857
318_sp|P0DTC2|SPIKE_SARS2,0.9570747217806042
319_sp|P0DTC2|SPIKE_SARS2,0.9888712241653418
31_sp|P02754|LACB_BOVIN,0.9171974522292994
320_sp|P0DTC2|SPIKE_SARS2,0.9825119236883942
321_sp|P0DTC2|SPIKE_SARS2,0.972972972972973
322_sp|P0DTC2|SPIKE_SARS2,0.8553259141494436
323_sp|P09259|GE_VZVD,0.8009868421052632
324_sp|P09259|GE_VZVD,0.7039473684210527
325_sp|Q32ZE1|POLG_ZIKV,0.28390703147984697
326_sp|P03314|POLG_YEFV1,0.9964643488509134
327_tr|Q91UM0|Q91UM0_POVJC,0.9941002949852508
328_sp|P02511|CRYAB_HUMAN,0.09999999999999998
329_sp|P14283|PERT_BORPE,0.5515695067264574
32_sp|Q8GZP6|ANAO2_ANAOC,0.7345537757437071
330_sp|P09259|GE_VZVD,0.9358552631578947
331_sp|P09259|GE_VZVD,0.8338815789473684
332_sp|P09259|GE_VZVD,0.17598684210526316
333_sp|P03314|POLG_YEFV1,0.9652532391048292
334_sp|P60201|MYPR_HUMAN,0.727626459143969
335_sp|P60201|MYPR_HUMAN,0.9027237354085603
336_sp|P09259|GE_VZVD,0.9950657894736842
337_sp|P09259|GE_VZVD,0.9868421052631579
338_sp|P9WJC3|ESPJ_MYCTU,0.9660377358490566
339_sp|P06733|ENOA_HUMAN,0.4844868735083532
33_sp|Q3Y8M6|TPM_PENAT,0.9925650557620818
340_sp|P04271|S100B_HUMAN,0.8472222222222222
341_sp|Q84ZX5|ALL1_ARTVU,0.8916666666666666
342_tr|Q63T73|Q63T73_BURPS,0.8827160493827161
343_tr|Q63T73|Q63T73_BURPS,0.7654320987654322
344_sp|P20908|CO5A1_HUMAN,0.9029072956664839
345_sp|Q9NQR9|G6PC2_HUMAN,0.991044776119403
346_sp|P43238|ALL12_ARAHY,0.9273927392739274
347_sp|P0DTC5|VME1_SARS2,1.0
348_sp|P04958|TETX_CLOTE,0.48729792147806006
349_tr|J3QL64|J3QL64_HUMAN,0.9507042253521126
34_sp|Q9QZS0|CO4A3_MOUSE,0.9987871437234688
350_sp|Q13018|PLA2R_HUMAN,0.9564917127071824
351_sp|Q13018|PLA2R_HUMAN,0.9578729281767956
352_sp|Q13018|PLA2R_HUMAN,0.8888121546961326
353_sp|Q13018|PLA2R_HUMAN,0.9910220994475138
354_tr|A0A3B3IU09|A0A3B3IU09_HUMAN,0.9423503325942351
355_sp|Q05329|DCE2_HUMAN,0.9539823008849557
356_tr|A0A7I2PJZ2|A0A7I2PJZ2_HUMAN,0.9228886168910648
357_sp|P43357|MAGA3_HUMAN,1.0
358_tr|A0A804HJ06|A0A804HJ06_HUMAN,0.7007299270072993
359_sp|Q63KH5|CIF_BURPS,0.9058441558441559
35_sp|P0DTC9|NCAP_SARS2,0.9901719901719902
360_sp|Q3Y8M6|TPM_PENAT,0.9442379182156134
361_sp|P17763|POLG_DEN1W,1.0
362_tr|J3QL64|J3QL64_HUMAN,0.3188405797101449
363_sp|P49278|ALL2_DERPT,0.8549618320610687
364_sp|P49278|ALL2_DERPT,0.7099236641221374
365_sp|P0DTC2|SPIKE_SARS2,0.5127186009538951
366_sp|P0DTC2|SPIKE_SARS2,0.37042925278219396
367_sp|P0DTC2|SPIKE_SARS2,0.4419713831478538
368_sp|P0DTC2|SPIKE_SARS2,0.9705648369132855
369_sp|P0DTC2|SPIKE_SARS2,0.9688498402555911
36_sp|P09259|GE_VZVD,0.4769736842105263
370_sp|P0DTC2|SPIKE_SARS2,0.8993610223642172
371_sp|P06733|ENOA_HUMAN,0.5178997613365155
372_sp|P06733|ENOA_HUMAN,0.8520286396181385
373_sp|P06733|ENOA_HUMAN,0.8973747016706444
374_sp|P10233|VP22_HHV11,1.0
375_sp|P0DTD1|R1AB_SARS2,1.0
376_tr|A0A7I2PJZ2|A0A7I2PJZ2_HUMAN,0.6744186046511628
377_sp|Q3Y8M6|TPM_PENAT,0.9814126394052045
378_sp|P0DTC2|SPIKE_SARS2,0.771678599840891
379_sp|Q8GZP6|ANAO2_ANAOC,0.9977116704805492
37_sp|P09259|GE_VZVD,0.4046052631578947
380_tr|A0A3B3IU09|A0A3B3IU09_HUMAN,0.9889135254988913
381_sp|Q05329|DCE2_HUMAN,0.9911504424778761
382_sp|P02749|APOH_HUMAN,0.6212121212121212
383_sp|Q9NQR9|G6PC2_HUMAN,0.9970149253731343
384_sp|P0A0V0|LPP20_HELPY,0.9444444444444444
385_sp|P01308|INS_HUMAN,0.04347826086956519
386_sp|P0DTD1|R1AB_SARS2,0.9635644682954386
387_sp|P9WGU1|PSTS1_MYCTU,0.9220055710306406
388_sp|P43238|ALL12_ARAHY,0.7970540098199672
389_sp|P43238|ALL12_ARAHY,0.9125412541254125
38_sp|P09259|GE_VZVD,0.549342105263158
390_sp|Q3Y8M6|TPM_PENAT,0.929368029739777
391_sp|P09259|GE_VZVD,0.9424342105263158
392_sp|P60201|MYPR_HUMAN,0.1089494163424124
393_tr|A5K3N8|A5K3N8_PLAVS,0.8272394881170019
394_tr|A5K3N8|A5K3N8_PLAVS,0.8391224862888482
395_sp|Q9Q6P4|POLG_WNV9,0.9329428989751098
396_tr|A5K1W7|A5K1W7_PLAVS,0.9106628242074928
397_sp|P15309|PPAP_HUMAN,0.9514824797843666
398_sp|P09259|GE_VZVD,0.6644736842105263
399_sp|P09259|GE_VZVD,0.9835526315789473
39_sp|P09259|GE_VZVD,0.3667763157894737
3_tr|A0A7I2PJZ2|A0A7I2PJZ2_HUMAN,0.9461444308445532
400_sp|Q33E94|RFX4_HUMAN,0.9291666666666667
401_sp|P15309|PPAP_HUMAN,0.8787061994609164
402_tr|A0A3B3IU09|A0A3B3IU09_HUMAN,0.926829268292683
403_sp|Q05329|DCE2_HUMAN,0.9415929203539823
404_sp|P01132|EGF_MOUSE,0.9858803986710963
405_sp|Q9HD40|SPCS_HUMAN,0.950920245398773
406_tr|A5K3N8|A5K3N8_PLAVS,0.9885740402193784
407_sp|P09259|GE_VZVD,0.9342105263157895
408_sp|P09259|GE_VZVD,0.9950657894736842
409_sp|P0DTC2|SPIKE_SARS2,0.7305246422893481
40_sp|P09259|GE_VZVD,0.9983552631578947
410_sp|P09259|GE_VZVD,0.9720394736842105
411_sp|Q9Y5K2|KLK4_HUMAN,0.5941422594142259
412_sp|P25391|LAMA1_HUMAN,0.8561151079136691
413_sp|P15502|ELN_HUMAN,0.9610894941634242
414_tr|Q63MW8|Q63MW8_BURPS,0.8406466512702079
415_sp|Q13641|TPBG_HUMAN,0.43000000000000005
416_sp|P17763|POLG_DEN1W,0.9970387918270655
417_sp|P03349|GAG_HV1A2,0.9917864476386037
418_sp|P32926|DSG3_HUMAN,0.8963414634146342
419_sp|Q3Y8M6|TPM_PENAT,0.6877323420074349
41_sp|P09259|GE_VZVD,0.9407894736842105
420_sp|P17763|POLG_DEN1W,0.9979271542789458
421_sp|P0DTC2|SPIKE_SARS2,0.93879173290938
422_sp|P01308|INS_HUMAN,0.6808510638297872
423_tr|A0A3B3IU09|A0A3B3IU09_HUMAN,0.9540481400437637
424_tr|A0A3B3IU09|A0A3B3IU09_HUMAN,0.9122807017543859
425_sp|P0DTC9|NCAP_SARS2,0.9573934837092732
426_sp|P07288|KLK3_HUMAN,0.5933609958506224
427_tr|Q95VF2|Q95VF2_LEIDO,0.5174825174825175
428_sp|P9WNK5|ESXB_MYCTU,0.9882352941176471
429_sp|P0DTC2|SPIKE_SARS2,0.9529130087789306
42_sp|P09259|GE_VZVD,0.9605263157894737
430_tr|Q63MW8|Q63MW8_BURPS,0.8521939953810623
431_tr|Q63MW8|Q63MW8_BURPS,0.9491916859122402
432_sp|P01308|INS_HUMAN,0.1063829787234043
433_sp|P9WQP1|A85B_MYCTU,0.9934426229508196
434_sp|P08134|RHOC_HUMAN,0.949438202247191
435_sp|P02458|CO2A1_HUMAN,0.9938900203665988
436_sp|P20908|CO5A1_HUMAN,0.725726823916621
437_sp|P20908|CO5A1_HUMAN,0.7004936917169501
438_sp|Q69028|DPOL_HBVCJ,0.9757575757575757
439_sp|P03314|POLG_YEFV1,0.9796819787985865
43_sp|Q6PSU2|CONG7_ARAHY,0.9490445859872612
440_sp|P03314|POLG_YEFV1,0.9891048292108363
441_sp|P08176|PEPT1_DERPT,0.9639344262295082
442_sp|P08176|PEPT1_DERPT,0.8426229508196721
443_sp|Q13018|PLA2R_HUMAN,0.5795297372060857
444_sp|Q13018|PLA2R_HUMAN,0.5622406639004149
445_sp|Q13018|PLA2R_HUMAN,0.7372060857538036
446_sp|Q13018|PLA2R_HUMAN,0.8704088704088704
447_sp|Q13018|PLA2R_HUMAN,0.4871794871794872
448_sp|Q13018|PLA2R_HUMAN,0.30977130977130973
449_sp|Q13018|PLA2R_HUMAN,0.5994455994455994
44_sp|P0C746|HBZ_HTL1A,0.5396825396825398
450_tr|J3QL64|J3QL64_HUMAN,0.37681159420289856
451_sp|P02686|MBP_HUMAN,0.43508771929824563
452_tr|J3QL64|J3QL64_HUMAN,0.2753623188405797
453_sp|P17763|POLG_DEN1W,0.9890435297601421
454_sp|Q63WH0|ISPH1_BURPS,0.954248366013072
455_sp|P0DTC5|VME1_SARS2,0.9951690821256038
456_sp|P0DTC5|VME1_SARS2,0.966183574879227
457_sp|P0DTC5|VME1_SARS2,0.7729468599033816
458_sp|P36334|SPIKE_CVHOC,0.9805389221556886
459_sp|Q9Q6P4|POLG_WNV9,0.6922401171303074
45_tr|J3QL64|J3QL64_HUMAN,0.5289855072463768
460_sp|F8WCM5|INSR2_HUMAN,0.8817204301075269
461_sp|F8WCM5|INSR2_HUMAN,0.6989247311827957
462_sp|P01308|INS_HUMAN,0.9139784946236559
463_sp|P0CL66|OSPA_BORBU,0.9846743295019157
464_sp|P24301|CH10_MYCLE,0.9318181818181819
465_sp|Q9Q6P4|POLG_WNV9,0.9953147877013178
466_sp|P09259|GE_VZVD,0.7631578947368421
467_sp|P09259|GE_VZVD,0.08388157894736847
468_sp|P09259|GE_VZVD,0.631578947368421
469_sp|P01308|INS_HUMAN,1.0
46_sp|P14679|TYRO_HUMAN,0.5311284046692607
470_sp|P09259|GE_VZVD,0.993421052631579
471_sp|P9WPE7|CH602_MYCTU,0.9865384615384616
472_sp|P01308|INS_HUMAN,0.368421052631579
473_tr|A0A504XF01|A0A504XF01_LEIDO,0.8086584714056654
474_sp|Q3Y8M6|TPM_PENAT,0.12267657992565051
475_sp|Q61885|MOG_MOUSE,0.9733333333333334
476_sp|Q61885|MOG_MOUSE,0.9688888888888889
477_sp|P17763|POLG_DEN1W,0.8797749481788569
478_sp|P60201|MYPR_HUMAN,0.9649805447470817
479_sp|P02708|ACHA_HUMAN,0.6193693693693694
47_tr|Q63JW5|Q63JW5_BURPS,0.6116504854368932
480_sp|P02708|ACHA_HUMAN,0.28828828828828834
481_sp|P02708|ACHA_HUMAN,1.0
482_tr|Q63MW8|Q63MW8_BURPS,0.9722863741339491
483_tr|A0A3B3IU09|A0A3B3IU09_HUMAN,0.9257641921397379
484_tr|Q63RZ9|Q63RZ9_BURPS,0.9411764705882353
485_sp|O43612|OREX_HUMAN,0.7372881355932204
486_tr|Q63W89|Q63W89_BURPS,0.9384615384615385
487_tr|Q63JW5|Q63JW5_BURPS,0.9271844660194175
488_sp|P9WNI9|ESXR_MYCTU,1.0
489_sp|Q63K41|BOPE_BURPS,0.6721991701244814
48_tr|H7C7G3|H7C7G3_BURPS,0.8614130434782609
490_sp|P43238|ALL12_ARAHY,0.9705400981996727
491_tr|Q63MW8|Q63MW8_BURPS,0.9445727482678984
492_sp|Q05110|VA5_VESVU,0.7594339622641509
493_sp|P09259|GE_VZVD,0.513157894736842
494_sp|P09259|GE_VZVD,0.42598684210526316
495_sp|P17763|POLG_DEN1W,0.9994077583654131
496_sp|P0DTC2|SPIKE_SARS2,0.9896661367249603
497_sp|P0DTC2|SPIKE_SARS2,0.9577015163607342
498_sp|P0DTC2|SPIKE_SARS2,0.8946528332003192
499_sp|P04958|TETX_CLOTE,0.8563748079877112
49_sp|P03277|CAPSH_ADE02,0.5267576075550893
4_sp|P17643|TYRP1_HUMAN,0.9003831417624522
500_sp|P17763|POLG_DEN1W,0.9609120521172638
501_sp|P0DTC2|SPIKE_SARS2,0.7424483306836248
502_tr|A0A3B3IU09|A0A3B3IU09_HUMAN,1.0
503_sp|P0DTC2|SPIKE_SARS2,0.9848966613672496
504_sp|P0DTC2|SPIKE_SARS2,0.9570063694267515
505_sp|Q05329|DCE2_HUMAN,0.7283950617283951
506_sp|P9WNK7|ESXA_MYCTU,0.9875
507_sp|P15309|PPAP_HUMAN,0.9508196721311475
508_sp|P0A0V0|LPP20_HELPY,0.6728395061728395
509_sp|P02671|FIBA_HUMAN,0.7265258215962441
50_tr|Q63T73|Q63T73_BURPS,0.9753086419753086
510_sp|P10523|ARRS_HUMAN,0.974025974025974
511_sp|P17763|POLG_DEN1W,0.9674267100977199
512_sp|P40967|PMEL_HUMAN,0.9274691358024691
513_tr|Q63W89|Q63W89_BURPS,0.915
514_sp|Q05329|DCE2_HUMAN,0.40530973451327434
